spcd,common_name,genus,species
7169,mati vao,Ficus,scabra
7171,fig,Ficus,spp.
7173,jaguey,Ficus,stahlii
7174,sycamore fig,Ficus,sycomorus
7175,Chinese banyan,Ficus,thonningii
7176,mati,Ficus,tinctoria
7177,jaguey blanco,Ficus,trigonata
7178,mati,Ficus,uniauriculata
7179,higo,Ficus,virens
7180,Finschia chloroxantha,Finschia,chloroxantha
7181,Chinese parasoltree,Firmiana,simplex
7182,burrdaisytree,Fitchia,speciosa
7184,governor's plum,Flacourtia,indica
7185,batoko plum,Flacourtia,inermis
7186,filimoto,Flacourtia,rukam
7188,Queensland maple,Flindersia,brayleyana
7190,Flueggea acidoton,Flueggea,acidoton
7191,poumuli,Flueggea,flexuosa
7192,mehamehame,Flueggea,neowawraea
7193,bushweed,Flueggea,spp.
7194,inkbush,Forestiera,eggersiana
7195,caca ravet,Forestiera,rhamnifolia
7196,Florida swampprivet,Forestiera,segregata
7198,oval kumquat,Fortunella,margarita
7199,Chinese chastetree,Vitex,negundo
7200,California buckthorn,Frangula,californica
7202,West Indian buckthorn,Frangula,sphaerosperma
7203,Franklin tree,Franklinia,alatamaha
7205,Goodding's ash,Fraxinus,gooddingii
7206,shamel ash,Fraxinus,uhdei
7207,Bolivian fuchsia,Fuchsia,boliviana
7208,shrubby fuchsia,Fuchsia,paniculata
7209,fuchsia,Fuchsia,spp.
7210,silkrubber,Funtumia,elastica
7211,avocado,Persea,americana
7212,Gourka,Garcinia,dulcis
7213,lemon saptree,Garcinia,hessii
7214,mangosteen,Garcinia,mangostana
7215,tilol,Garcinia,matsudai
7216,,Garcinia,myrtifolia
7217,konpuil,Garcinia,ponapensis
7218,palo de cruz,Garcinia,portoricensis
7219,tilol,Garcinia,rumiyo
7220,Garcinia quadrilocularis,Garcinia,quadrilocularis
7221,Garcinia,Garcinia,spp.
7223,Garcinia xanthochymus,Garcinia,xanthochymus
7224,forest gardenia,Gardenia,brighamii
7225,Oahu gardenia,Gardenia,mannii
7226,Remys gardenia,Gardenia,remyi
7227,gardenia,Gardenia,spp.
7228,Tahitian gardenia,Gardenia,taitensis
7229,manuai vivao,Garuga,floribunda
7231,llume,Gaussia,attenuata
7233,taipoipo,Geniostoma,rupestre
7235,jagua,Genipa,americana
7237,arbol de Navidad,Gesneria,pedunculosa
7239,bastard gregre,Ginoria,rohrii
7241,Gironniera celtidifolia,Gironniera,celtidifolia
7243,Japanese zelkova,Zelkova,serrata
7245,quickstick,Gliricidia,sepium
7246,lotebush,Ziziphus,obtusifolia
7247,masame,Glochidion,cuspidatum
7248,Glochidion marianum,Glochidion,marianum
7249,masame,Glochidion,ramiflorum
7250,Glochidion,Glochidion,spp.
7251,belau,Gmelina,elliptica
7252,blacheos,Gmelina,palawensis
7253,Gmelina,Gmelina,spp.
7254,Gnetum gnemon,Gnetum,gnemon
7255,flower axistree,Glycosmis,parviflora
7256,mata buey,Goetzea,elegans
7257,Glochidion kanehirae,Glochidion,kanehirae
7258,grand merisier,Gomidesia,lindeniana
7260,Goniothalamus carolinensis,Goniothalamus,carolinensis
7262,Creole cotton,Gossypium,barbadense
7264,Gossypium hirsutum,Gossypium,hirsutum
7268,Graffenrieda ottoschulzii,Graffenrieda,ottoschulzii
7272,kahiliflower,Grevillea,banksii
7273,silkoak,Grevillea,robusta
7274,grevillea,Grevillea,spp.
7275,fau ui,Grewia,crenata
7279,lignum-vitae,Guaiacum,officinale
7280,holywood,Guaiacum,sanctum
7282,paipai,Guamia,mariannae
